Name,BDGE Rk,Flock Rk,,,,,
Christian McCaffrey,1,1,,,,,
Bijan Robinson,2,2,,,,,
Breece Hall,3,3,,,,,
Saquon Barkley,7,6,,,,,
Jahmyr Gibbs,6,4,,,,,
Jonathan Taylor,4,5,,,,,
Kyren Williams,5,7,,,,,
Travis Etienne Jr.,9,10,,,,,
Derrick Henry,12,12,,,,,
De'Von Achane,13,8,,,,,
Josh Jacobs,10,11,,,,,
Isiah Pacheco,8,9,,,,,
Rachaad White,15,14,,,,,
James Cook,11,12,,,,,
Joe Mixon,18,16,,,,,
Alvin Kamara,16,17,,,,,
Kenneth Walker III,14,15,,,,,
Aaron Jones,23,19,,,,,
D'Andre Swift,24,25,,,,,
James Conner,20,21,,,,,
David Montgomery,17,18,,,,,
Rhamondre Stevenson,28,20,,,,,
Najee Harris,19,22,,,,,
Tony Pollard,22,30,,,,,
Raheem Mostert,21,26,,,,,
Zamir White,33,23,,,,,
Nick Chubb,,38,,,,,
Javonte Williams,25,31,,,,,
Zack Moss,32,28,,,,,
Austin Ekeler,36,36,,,,,
Jonathon Brooks,,,,,,,
Jaylen Warren,34,24,,,,,
Devin Singletary,31,34,,,,,
Tyjae Spears,30,37,,,,,
Brian Robinson Jr.,26,32,,,,,
Trey Benson,,33,,,,,
Gus Edwards,39,35,,,,,
Ezekiel Elliott,35,40,,,,,
Chase Brown,29,29,,,,,
Blake Corum,,44,,,,,
Jerome Ford,27,39,,,,,
Zach Charbonnet,,43,,,,,
Chuba Hubbard,38,42,,,,,
J.K. Dobbins,,,,,,,
Rico Dowdle,37,41,,,,,
Ty Chandler,,45,,,,,
Tyler Allgeier,,,,,,,
Antonio Gibson,,,,,,,
Kendre Miller,,,,,,,
Jaleel McLaughlin,,,,,,,
MarShawn Lloyd,,,,,,,
Ray Davis,,,,,,,
Braelon Allen,,,,,,,
Tyrone Tracy Jr.,,,,,,,
Elijah Mitchell,,,,,,,
Bucky Irving,,,,,,,
Khalil Herbert,,,,,,,
Clyde Edwards-Helaire,,,,,,,
Roschon Johnson,,,,,,,
Alexander Mattison,,,,,,,
